"","id","pert_id","pert_iname","cell_iname","pert_type","pert_idose","pert_itime","nsample","ss_ngene","cc_q75","tas","qc_pass","is_hiq","is_ncs_sig","is_exemplar_sig","is_null_sig","moa","target_name","raw_cs","fdr_q_nlog10","norm_cs"
"5953","REP.A014_MCF7_24H:G01","BRD-K59227464","LY-2228820","MCF7","trt_cp","10 uM","24 h",3,299,"0.4333","0.363966",1,1,1,1,0,"P38 MAPK inhibitor","MAPK14","0.7395","1.7179","1.6316"
"5965","PAC001_U2OS_6H:BRD-K62310379-001-03-0:3.99544","BRD-K62310379","fluticasone-propionate","U2OS","trt_cp","4 uM","6 h",2,122,"0.27","0.183524",0,0,1,1,0,"Glucocorticoid receptor agonist","NR3C1|PGR|CYP3A5|CYP3A7|NR3C2|PLA2G4A","0.7393","1.7179","1.6312"
"5977","REP.A021_THP1_24H:G20","BRD-K82967685","mirodenafil","THP1","trt_cp","3.33 uM","24 h",2,131,"0.0448","0.0774649",0,0,1,1,0,"Phosphodiesterase inhibitor","PDE5A","0.7392","1.7179","1.6309"
"5988","PBIOA014_HT29_24H:C01","BRD-K64052750","gefitinib","HT29","trt_cp","10 uM","24 h",2,254,"0.4895","0.356553",1,1,1,1,0,"EGFR inhibitor","EGFR|CYP2C19","0.7391","1.7179","1.6307"
"5993","REP.B011_HUVEC.A_24H:E01","BRD-K05104363","PD-184352","HUVEC","trt_cp","2.22 uM","24 h",2,245,"0.2659","0.258091",0,0,1,1,0,"MEK inhibitor","MAP2K1|MAP2K2|MAP3K1|MAP3K2","0.739","1.7179","1.6306"
"5995","CPC010_A549_6H:BRD-K28143534-003-20-0:10","BRD-K28143534","cyproheptadine","A549","trt_cp","10 uM","6 h",2,110,"0.24","0.164298",1,1,1,1,0,"Histamine receptor antagonist","HRH1|HTR2B|ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HTR2A|HTR2C|HTR6|HTR7","0.739","1.7179","1.6306"
"6014","REP.B014_A375_24H:A23","BRD-A56085258","LGX-818","A375","trt_cp","0.03 uM","24 h",2,650,"0.8564","0.754442",1,1,1,1,0,"RAF inhibitor","BRAF","0.7389","1.7179","1.6302"
"6019","CPC016_ASC_24H:BRD-K54330070-001-07-1:10","BRD-K54330070","SB-202190","ASC","trt_cp","10 uM","24 h",3,176,"0.28","0.224474",0,0,1,1,0,"P38 MAPK inhibitor","MAPK14|AKT1|ALOX5|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1","0.7388","1.7179","1.6301"
"6024","REP.A025_THP1_24H:N19","BRD-K79102359","idalopirdine","THP1","trt_cp","10 uM","24 h",3,151,"0.323","0.223316",1,1,1,1,0,"Serotonin receptor antagonist","HTR6","0.7388","1.7179","1.63"
"6025","PBIOA015_A549_24H:K01","BRD-K12244279","BRD-K12244279","A549","trt_cp","10 uM","24 h",2,157,"0.39","0.250215",1,1,1,1,0,"MEK inhibitor","-666","0.7388","1.7179","1.63"
"6039","CPC004_MCF7_6H:BRD-K42635745-001-02-4:10","BRD-K42635745","suloctidil","MCF7","trt_cp","10 uM","6 h",4,315,"0.34","0.330922",0,0,1,1,0,"Adrenergic receptor antagonist","-666","0.7386","1.7179","1.6296"
"6057","REP.A016_A375_24H:N19","BRD-K41895714","AS-605240","A375","trt_cp","10 uM","24 h",3,131,"0.3773","0.224807",1,1,1,1,0,"PI3K inhibitor","PIK3CG","0.7384","1.7179","1.6293"
"6061","CPC003_HCC515_24H:BRD-A14395271-001-01-5:10","BRD-A14395271","mesoridazine","HCC515","trt_cp","10 uM","24 h",3,101,"0.24","0.157433",1,0,1,1,0,"Dopamine receptor antagonist","DRD2|HTR2A","0.7384","1.7179","1.6292"
"6064","REP.B005_A375_24H:I01","BRD-A09472452","flecainide","A375","trt_cp","2.22 uM","24 h",3,175,"0.2463","0.209934",1,0,1,1,0,"Sodium channel inhibitor","SCN5A|KCNA5|KCNA7|SCN4A","0.7384","1.7179","1.6292"
"6153","REP.A023_THP1_24H:N19","BRD-K72166146","BRD-K72166146","THP1","trt_cp","10 uM","24 h",2,76,"0.1239","0.0981235",0,0,1,1,0,"Serotonin receptor agonist","HTR1D|HTR1B|ADRA2A|DRD2|HTR1E|HTR1F|HTR2B|HTR7","0.7375","1.7179","1.6272"
"6175","MUC.CP008_HA1E_24H:M19","BRD-K32330832","VER-155008","HA1E","trt_cp","12 uM","24 h",3,298,"0.52","0.398053",1,1,1,1,0,"HSP inhibitor","HSPA1A","0.7373","1.7179","1.6267"
"6202","REP.A025_JURKAT_24H:A21","BRD-K98493452","honokiol","JURKAT","trt_cp","1.11 uM","24 h",2,109,"0.1673","0.13655",0,0,1,1,0,"AKT inhibitor","ALOX5|PTGS1|PTGS2","0.7371","1.7179","1.6263"
"6236","CPC016_MCF7_24H:BRD-K05528470-305-01-4:10","BRD-K05528470","L-745870","MCF7","trt_cp","10 uM","24 h",4,140,"0.04","0.0756701",1,0,1,1,0,"Dopamine receptor antagonist","DRD4|DRD1|DRD2|DRD3|HTR1A|HTR2A|HTR6|HTR7","0.7369","1.7179","1.6258"
"6269","CPC011_MCF7_6H:BRD-A92670106-001-04-1:10","BRD-A92670106","tocainide","MCF7","trt_cp","10 uM","6 h",2,251,"0.17","0.208878",0,0,1,1,0,"Sodium channel inhibitor","SCN5A","0.7367","1.7179","1.6254"
"6279","LKCP002_U2OS_6H:D22","BRD-K51318897","fenbendazole","U2OS","trt_cp","10 uM","6 h",4,353,"0.5302","0.437459",1,1,1,1,0,"Tubulin inhibitor","CYP2C19|CYP2D6|CYP2J2|CYP3A4|TUBB","0.7366","1.7179","1.6252"
"6287","REP.B018_MCF10A_24H:D24","BRD-K62762455","RU-58841","MCF10A","trt_cp","0.01 uM","24 h",2,58,"0.1463","0.0931465",0,0,1,1,0,"Androgen receptor antagonist","AR","0.7365","1.7179","1.6251"
"6305","REP.A021_A549_24H:B19","BRD-K80608265","erteberel","A549","trt_cp","10 uM","24 h",3,283,"0.4234","0.350025",0,0,1,1,0,"Estrogen receptor agonist","ESR2|ESR1","0.7363","1.7179","1.6246"
"6336","CPC005_MCF7_24H:BRD-K19554809-001-01-1:10","BRD-K19554809","MK-212","MCF7","trt_cp","10 uM","24 h",5,309,"0.24","0.275369",1,0,1,1,0,"Serotonin receptor agonist","HTR2C","0.736","1.7179","1.624"
"6361","CPC011_HA1E_6H:BRD-K01612348-001-09-8:10","BRD-K01612348","meropenem","HA1E","trt_cp","10 uM","6 h",2,121,"0.27","0.18277",0,0,1,1,0,"Bacterial cell wall synthesis inhibitor","-666","0.7357","1.7179","1.6233"
"6406","CPC004_VCAP_6H:BRD-K67847053-015-08-8:10","BRD-K67847053","guanabenz","VCAP","trt_cp","10 uM","6 h",4,168,"0.16","0.165785",1,0,1,1,0,"Adrenergic receptor agonist","-666","0.7353","1.7179","1.6223"
"6434","CPC004_HT29_6H:BRD-K52219182-001-01-6:10","BRD-K52219182","ICI-63197","HT29","trt_cp","10 uM","6 h",5,217,"0.21","0.215859",0,0,1,1,0,"Phosphodiesterase inhibitor","-666","0.7349","1.7179","1.6216"
"6445","CPC020_PC3_24H:BRD-K47679368-001-01-5:10","BRD-K47679368","bromfenac","PC3","trt_cp","10 uM","24 h",5,97,"0.22","0.147716",1,0,1,1,0,"Cyclooxygenase inhibitor","PTGS1|PTGS2","0.7349","1.7179","1.6214"
"6545","CPC006_HCT116_6H:BRD-K28296557-005-14-6:10","BRD-K28296557","BRD-K28296557","HCT116","trt_cp","10 uM","6 h",2,261,"0.57","0.390021",0,0,1,1,0,"AKT inhibitor","-666","0.7342","1.7179","1.6199"
"6578","CPC005_HT29_6H:BRD-K90574421-001-01-9:10","BRD-K90574421","ipsapirone","HT29","trt_cp","10 uM","6 h",3,235,"0.21","0.224633",1,0,1,1,0,"Serotonin receptor agonist","HTR1A","0.7339","1.7179","1.6192"
"6590","CPC001_PC3_6H:BRD-A39747742-001-03-5:10","BRD-A39747742","BRD-A39747742","PC3","trt_cp","10 uM","6 h",3,289,"0.32","0.307507",1,1,1,1,0,"Estrogen receptor agonist","ESR1","0.7338","1.7179","1.6191"
"6612","REP.B021_A375_24H:C01","BRD-K81272440","dantrolene","A375","trt_cp","2.22 uM","24 h",2,159,"0.4661","0.275276",1,1,1,1,0,"Calcium channel blocker","RYR1|RYR3","0.7337","1.7179","1.6187"
"6616","PAC003_U2OS_6H:BRD-K31491153-001-01-2:10","BRD-K31491153","1-phenylbiguanide","U2OS","trt_cp","10 uM","6 h",2,107,"0.14","0.123762",1,0,1,1,0,"Serotonin receptor agonist","-666","0.7336","1.7179","1.6186"
"6625","REP.A001_HT29_24H:M20","BRD-A29734509","disopyramide","HT29","trt_cp","3.33 uM","24 h",3,94,"0.1319","0.112594",0,0,1,1,0,"Sodium channel inhibitor","SCN5A|CHRM1|CHRM2|CHRM3|KCND2|KCND3|KCNH2","0.7335","1.7179","1.6185"
"6630","CPC006_PC3_6H:BRD-K28907958-001-02-7:11.1","BRD-K28907958","CD-437","PC3","trt_cp","12 uM","6 h",4,249,"0.4","0.319125",1,1,1,1,0,"Retinoid receptor agonist","RARG","0.7335","1.7179","1.6183"
"6633","CPC009_HA1E_6H:BRD-K08219523-003-02-3:10","BRD-K08219523","5-nonyloxytryptamine","HA1E","trt_cp","10 uM","6 h",2,452,"0.62","0.535298",1,1,1,1,0,"Serotonin receptor agonist","-666","0.7334","1.7179","1.6183"
"6635","CPC006_VCAP_6H:BRD-K15409150-001-02-5:30","BRD-K15409150","penfluridol","VCAP","trt_cp","30 uM","6 h",4,446,"0.67","0.552758",1,1,1,1,0,"Calcium channel blocker","DRD1|DRD2|CACNA1G","0.7334","1.7179","1.6182"
"6668","CPC014_PC3_24H:BRD-K83794624-001-01-7:10","BRD-K83794624","pirarubicin","PC3","trt_cp","10 uM","24 h",5,616,"0.67","0.649618",0,0,1,1,0,"Topoisomerase inhibitor","TOP2A","0.7332","1.7179","1.6176"
"6741","CPC016_HT29_6H:BRD-K15868788-003-02-8:10","BRD-K15868788","SDZ-205-557","HT29","trt_cp","10 uM","6 h",5,346,"0.25","0.297398",0,0,1,1,0,"Serotonin receptor antagonist","HTR4|HTR3A|HTR3B","0.7326","1.7179","1.6165"
"6749","CPC006_NOMO1_6H:BRD-A34255068-001-16-2:10","BRD-A34255068","rolipram","NOMO1","trt_cp","10 uM","6 h",2,236,"0.04","0.0982464",0,0,1,1,0,"Phosphodiesterase inhibitor","PDE4A|PDE4B|PDE4D|PDE4C","0.7326","1.7179","1.6164"
"6763","PBIOA019_HA1E_24H:M18","BRD-K93176058","AC-55649","HA1E","trt_cp","0.04 uM","24 h",3,103,"0.15","0.125688",1,0,1,1,0,"Retinoid receptor agonist","RARB|RARA","0.7325","1.7179","1.6162"
"6836","REP.B023_HEK293_24H:E11","BRD-A68888262","azelastine","HEK293","trt_cp","0.03 uM","24 h",2,88,"0.1521","0.116987",1,0,1,1,0,"Histamine receptor antagonist","HRH1|CYP2C19","0.7319","1.7179","1.6149"
"6902","CPC002_PC3_24H:BRD-K33860217-003-01-6:10","BRD-K33860217","CP-94253","PC3","trt_cp","10 uM","24 h",5,228,"0.13","0.174088",1,0,1,1,0,"Serotonin receptor agonist","HTR1B","0.7314","1.7179","1.6137"
"6921","REP.A020_A375_24H:L22","BRD-K46970505","cefozopran","A375","trt_cp","0.37 uM","24 h",3,100,"0.1789","0.13525",0,0,1,1,0,"Bacterial cell wall synthesis inhibitor","-666","0.7312","1.7179","1.6134"
"6938","EMU001_OCILY3_24H:C13","BRD-K70401845","erlotinib","OCILY3","trt_cp","10 uM","24 h",3,179,"0.3377","0.248612",1,1,1,1,0,"EGFR inhibitor","EGFR|NR1I2","0.7311","1.7179","1.613"
"6943","CPC003_HCC515_24H:BRD-K11107424-001-01-1:10","BRD-K11107424","tiotidine","HCC515","trt_cp","10 uM","24 h",3,78,"0.12","0.0978292",1,0,1,1,0,"Histamine receptor antagonist","HRH2","0.731","1.7179","1.6129"
"6996","REP.B016_A549_24H:E03","BRD-K52233191","R-547","A549","trt_cp","0.25 uM","24 h",2,164,"0.3321","0.235986",0,0,1,1,0,"CDK inhibitor","CDK2|CDK1|CDK4|CCND1|CCNE1|CDK7","0.7305","1.7179","1.6118"
"7007","LIVB002_HUH7_72H:P04","BRD-K35941380","methysergide","HUH7","trt_cp","10 uM","72 h",3,117,"0.09","0.103764",0,0,1,1,0,"Serotonin receptor antagonist","HTR2C|HTR1B|HTR1E|HTR1F|HTR2A|HTR2B|HTR7|HTR1A|HTR1D|HTR5A|HTR6","0.7305","1.7179","1.6117"
"7011","LKCP002_U2OS_48H:K23","BRD-K38852836","ganetespib","U2OS","trt_cp","1.11 uM","48 h",4,680,"0.7651","0.729364",1,1,1,1,0,"HSP inhibitor","HSP90AA1|WT1","0.7305","1.7179","1.6117"
"7014","REP.B013_PC3_24H:O09","BRD-K43887077","dopamine","PC3","trt_cp","0.25 uM","24 h",2,360,"0.6351","0.483507",0,0,1,1,0,"Dopamine receptor agonist","DRD2|DRD1|DRD3|DRD4|DRD5|DBH|HTR1A|HTR7|SLC6A2|SLC6A3|SLC6A4","0.7304","1.7179","1.6116"
"7045","REP.A014_HT29_24H:N19","BRD-A39935389","teroxirone","HT29","trt_cp","10 uM","24 h",3,263,"0.448","0.347094",1,1,1,1,0,"DNA inhibitor","-666","0.7302","1.7179","1.6111"
"7077","REP.A002_A549_24H:J02","BRD-K17068645","bendamustine","A549","trt_cp","3.33 uM","24 h",3,129,"0.2438","0.179326",0,0,1,1,0,"DNA inhibitor","-666","0.73","1.7179","1.6106"
"7078","CPC016_A549_24H:BRD-K09397065-003-03-8:10","BRD-K09397065","SR-57227A","A549","trt_cp","10 uM","24 h",3,248,"0.26","0.256769",0,0,1,1,0,"Serotonin receptor agonist","HTR3A","0.73","1.7179","1.6106"
"7086","CPC011_VCAP_6H:BRD-A50764878-004-02-6:10","BRD-A50764878","MDL-73005EF","VCAP","trt_cp","10 uM","6 h",5,304,"0.26","0.284285",0,0,1,1,0,"Serotonin receptor antagonist","HTR1A","0.7299","1.7179","1.6105"
"7098","AICHI001_SKMEL5_24H:I13","BRD-K52911425","GDC-0941","SKMEL5","trt_cp","10 uM","24 h",3,243,"0.53","0.362887",1,1,1,1,0,"PI3K inhibitor","PIK3CG|PIK3CA|PIK3CB|PIK3CD","0.7299","1.7179","1.6103"
"7121","REP.B023_A375_24H:K03","BRD-K70924353","amtolmetin-guacil","A375","trt_cp","0.25 uM","24 h",2,103,"0.3416","0.189674",1,1,1,1,0,"Cyclooxygenase inhibitor","PTGS1|PTGS2","0.7297","1.7179","1.61"
"7137","CPC015_ASC_24H:BRD-K92093830-003-05-0:10","BRD-K92093830","doxorubicin","ASC","trt_cp","10 uM","24 h",4,545,"0.67","0.611035",0,0,1,1,0,"Topoisomerase inhibitor","TOP2A","0.7296","1.7179","1.6097"
"7147","CPD003_MCF7_6H:BRD-K91740057-001-14-9:10","BRD-K91740057","felbinac","MCF7","trt_cp","10 uM","6 h",2,165,"0.35","0.243",0,0,1,1,0,"Cyclooxygenase inhibitor","CTSL","0.7294","1.7179","1.6094"
"7176","REP.B007_HT29_24H:B13","BRD-K42805893","AZD-9291","HT29","trt_cp","2.22 uM","24 h",2,134,"0.3207","0.20962",0,0,1,1,0,"EGFR inhibitor","EGFR","0.7293","1.7179","1.609"
"7188","REP.A028_THP1_24H:A13","BRD-K92441787","bexarotene","THP1","trt_cp","10 uM","24 h",2,398,"0.5434","0.470253",0,0,1,1,0,"Retinoid receptor agonist","RXRA|RXRB|RXRG|ABCA1|CYP2C8|CYP3A4","0.7292","1.7179","1.6089"
"7244","REP.A018_HT29_24H:H04","BRD-K34328244","MF-101","HT29","trt_cp","0.37 uM","24 h",3,114,"0.2369","0.166175",0,0,1,1,0,"Estrogen receptor agonist","ESR2|XDH|CYP19A1","0.7288","1.7179","1.6081"
"7275","REP.A002_A549_24H:P18","BRD-A18620900","estriol","A549","trt_cp","0.04 uM","24 h",3,110,"0.1679","0.137421",0,0,1,1,0,"Estrogen receptor agonist","ESR1|ESR2","0.7285","1.7178","1.6074"
"7287","CPC003_HCC515_24H:BRD-A16332958-001-04-0:10","BRD-A16332958","modafinil","HCC515","trt_cp","10 uM","24 h",3,297,"0.16","0.220429",1,0,1,1,0,"Adrenergic receptor agonist","SLC6A3|CYP1A2|CYP2B6|CYP2C19|CYP3A4|CYP3A5|ADRA1B","0.7284","1.7176","1.6072"
"7300","REP.A017_MCF10A_24H:D07","BRD-K46386702","ARRY-334543","MCF10A","trt_cp","10 uM","24 h",3,553,"0.7302","0.642561",0,0,1,1,0,"EGFR inhibitor","ERBB2|EGFR|ERBB4","0.7283","1.7175","1.607"
"7305","CRCGN006_HEPG2_24H:BRD-K38323065:2.22222","BRD-K38323065","phenacetin","HEPG2","trt_cp","2.22 uM","24 h",3,147,"0.29","0.20878",1,1,1,1,0,"Cyclooxygenase inhibitor","PTGS1","0.7283","1.7174","1.6069"
"7425","REP.A023_YAPC_24H:E07","BRD-A68888262","azelastine","YAPC","trt_cp","10 uM","24 h",3,204,"0.3957","0.287295",1,1,1,1,0,"Histamine receptor antagonist","HRH1|CYP2C19","0.7274","1.7153","1.605"
"7493","LJP008_NPC.CAS9_24H:J24","BRD-K89391146","RG-108","NPC","trt_cp","0.04 uM","24 h",3,315,"0.5644","0.426363",1,1,1,1,0,"DNA inhibitor","DNMT1|DNMT3B","0.727","1.7128","1.604"
"7498","CPC005_MCF7_6H:J22","BRD-K51018020","VAMA-37","MCF7","trt_cp","10 uM","6 h",4,414,"0.3924","0.407563",1,1,1,1,0,"DNA inhibitor","PRKDC","0.7269","1.7126","1.6039"
"7507","CPC016_MCF7_6H:BRD-K85871428-001-01-9:10","BRD-K85871428","SC-68376","MCF7","trt_cp","10 uM","6 h",2,136,"0.03","0.0645893",0,0,1,1,0,"P38 MAPK inhibitor","MAPK14","0.7269","1.7123","1.6038"
"7514","REP.A003_A549_24H:H24","BRD-K33453211","levocabastine","A549","trt_cp","0.04 uM","24 h",3,289,"0.218","0.253809",0,0,1,1,0,"Histamine receptor antagonist","HRH1|NTSR2","0.7269","1.7122","1.6037"
"7526","CPC013_HEPG2_6H:BRD-K25504083-001-03-1:10","BRD-K25504083","cytochalasin-d","HEPG2","trt_cp","10 uM","6 h",3,396,"0.57","0.480414",1,1,1,1,0,"Tubulin inhibitor","ACTA1","0.7267","1.7111","1.6034"
"7531","PBIOA019_HEPG2_24H:K19","BRD-K17702546","PD-168393","HEPG2","trt_cp","10 uM","24 h",3,303,"0.44","0.369214",1,1,1,1,0,"EGFR inhibitor","EGFR|ERBB2|SRC","0.7267","1.7107","1.6033"
"7553","CPC015_A549_24H:BRD-A23683907-334-01-0:10","BRD-A23683907","NAS-181","A549","trt_cp","10 uM","24 h",3,117,"0.29","0.186261",0,0,1,1,0,"Serotonin receptor antagonist","HTR1B","0.7264","1.7086","1.6027"
"7572","CPC004_A375_6H:BRD-K30240666-051-08-4:10","BRD-K30240666","clemastine","A375","trt_cp","10 uM","6 h",3,330,"0.29","0.312814",1,0,1,1,0,"Histamine receptor antagonist","HRH1","0.7262","1.7072","1.6024"
"7607","REP.A002_HA1E_24H:D07","BRD-K16077845","fentiazac","HA1E","trt_cp","10 uM","24 h",3,90,"0.2407","0.14883",1,1,1,1,0,"Cyclooxygenase inhibitor","PTGS1|PTGS2","0.726","1.7049","1.6018"
"7620","CPC005_HA1E_24H:BRD-A61392169-001-01-9:10","BRD-A61392169","eliprodil","HA1E","trt_cp","10 uM","24 h",3,76,"0.05","0.0623336",1,0,1,1,0,"Glutamate receptor antagonist","GRIN1|GRIN2B","0.7259","1.7037","1.6015"
"7640","CPD002_MCF7_6H:BRD-K85333151-003-10-0:10","BRD-K85333151","ramifenazone","MCF7","trt_cp","10 uM","6 h",3,260,"0.08","0.145835",0,0,1,1,0,"Cyclooxygenase inhibitor","-666","0.7257","1.7021","1.6012"
"7647","CPC016_A549_6H:BRD-K79425933-001-03-6:10","BRD-K79425933","benperidol","A549","trt_cp","10 uM","6 h",2,78,"0.22","0.132461",0,0,1,1,0,"Dopamine receptor antagonist","DRD2","0.7257","1.702","1.6011"
"7661","CPC004_HEPG2_6H:BRD-A43940795-001-03-6:10","BRD-A43940795","tetrahydropalmatine","HEPG2","trt_cp","10 uM","6 h",3,173,"0.2","0.188091",0,0,1,1,0,"Serotonin receptor agonist","-666","0.7256","1.7006","1.6009"
"7677","REP.A017_HELA_24H:K23","BRD-K67043667","altretamine","HELA","trt_cp","0.125 uM","24 h",2,76,"0.1091","0.0920767",1,1,1,1,0,"DNA inhibitor","-666","0.7254","1.6991","1.6006"
"7707","NMH002_FIBRNPC_24H:BRD-K49685476-001-11-8:10","BRD-K49685476","TTNPB","NPC","trt_cp","10 uM","24 h",3,123,"0.23","0.170078",1,1,1,1,0,"Retinoid receptor agonist","RARB|RARA|RARG","0.7252","1.6965","1.6"
"7715","CPC004_PC3_24H:BRD-K49945136-001-03-5:10","BRD-K49945136","GR-113808","PC3","trt_cp","10 uM","24 h",5,90,"0.14","0.113505",0,0,1,1,0,"Serotonin receptor antagonist","HTR4","0.7251","1.6956","1.5999"
"7770","CPC003_PC3_6H:BRD-K30990140-003-01-6:10","BRD-K30990140","FR-122047","PC3","trt_cp","10 uM","6 h",4,194,"0.21","0.204099",1,0,1,1,0,"Cyclooxygenase inhibitor","-666","0.7247","1.6885","1.599"
"7774","CPC017_MCF7_24H:BRD-K24201553-003-02-4:10","BRD-K24201553","SB-269970","MCF7","trt_cp","10 uM","24 h",5,142,"0.21","0.174616",1,0,1,1,0,"Serotonin receptor antagonist","HTR7","0.7247","1.6883","1.599"
"7784","CPC005_HA1E_24H:BRD-K82577285-001-01-7:10","BRD-K82577285","dipropyl-dopamine","HA1E","trt_cp","10 uM","24 h",3,122,"0.16","0.141277",1,0,1,1,0,"Dopamine receptor agonist","-666","0.7246","1.6864","1.5988"
"7821","LIVB002_HUH7_72H:H06","BRD-K40901640","cinanserin","HUH7","trt_cp","10 uM","72 h",3,93,"0.16","0.123348",0,0,1,1,0,"Serotonin receptor antagonist","HTR2A","0.7244","1.6814","1.5984"
"7859","REP.A020_A375_24H:L07","BRD-K45924332","amrinone","A375","trt_cp","10 uM","24 h",3,142,"0.2837","0.202957",0,0,1,1,0,"Phosphodiesterase inhibitor","PDE3A|PDE3B|PDE4B|TNF","0.7242","1.6746","1.5978"
"7973","CPC004_HEPG2_6H:BRD-K30816563-003-01-1:10","BRD-K30816563","ranitidine","HEPG2","trt_cp","10 uM","6 h",3,137,"0.09","0.112283",1,0,1,1,0,"Histamine receptor antagonist","HRH2|SLC22A2","0.7234","1.6529","1.5961"
"7985","CPC014_NEU_24H:BRD-K36627727-001-01-3:10","BRD-K36627727","tamibarotene","NEU","trt_cp","10 uM","24 h",2,42,"0.24","0.101522",0,0,1,1,0,"Retinoid receptor agonist","RARA|RARB","0.7233","1.6506","1.5959"
"8010","PAC003_U2OS_6H:BRD-K28307902-001-04-3:10","BRD-K28307902","flutamide","U2OS","trt_cp","10 uM","6 h",2,20,"0.12","0.0495377",1,0,1,1,0,"Androgen receptor antagonist","AR|CYP2C19|AHR","0.7231","1.642","1.5954"
"8017","CPC015_HT29_6H:BRD-A36074203-003-03-5:10","BRD-A36074203","remacemide","HT29","trt_cp","10 uM","6 h",3,242,"0.26","0.253644",1,0,1,1,0,"Glutamate receptor antagonist","GRIN1","0.7231","1.6414","1.5953"
"8024","CPC017_HEPG2_6H:BRD-A27143604-001-01-2:10","BRD-A27143604","dpn","HEPG2","trt_cp","10 uM","6 h",3,112,"0.17","0.139529",1,0,1,1,0,"Estrogen receptor agonist","ESR2","0.723","1.6385","1.5951"
"8026","CPC012_ASC_24H:BRD-K13810148-001-02-1:10","BRD-K13810148","givinostat","ASC","trt_cp","10 uM","24 h",4,160,"0.19","0.176306",1,0,1,1,0,"HDAC inhibitor","HDAC2|IL1B|IL1R2|IL6R|TNF|HDAC1|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","0.723","1.6381","1.5951"
"8127","REP.A011_HT29_24H:D13","BRD-K04956647","nebivolol","HT29","trt_cp","10 uM","24 h",2,106,"0.4265","0.215002",0,0,1,1,0,"Adrenergic receptor antagonist","ADRB1|ADRB2","0.7223","1.6252","1.5937"
"8140","REP.A017_JURKAT_24H:H04","BRD-K62996583","lidoflazine","JURKAT","trt_cp","0.37 uM","24 h",2,92,"0.1811","0.130522",0,0,1,1,0,"Calcium channel blocker","SCN1A|SCN3A|SLC29A1","0.7222","1.6243","1.5935"
"8210","REP.B022_HT29_24H:L10","BRD-A73368467","fexofenadine","HT29","trt_cp","0.08 uM","24 h",2,245,"0.1271","0.178438",0,0,1,1,0,"Histamine receptor antagonist","HRH1","0.7217","1.6208","1.5924"
"8255","CPC011_PC3_24H:BRD-A22256192-311-02-6:10","BRD-A22256192","terazosin","PC3","trt_cp","10 uM","24 h",4,145,"0.08","0.108908",1,0,1,1,0,"Adrenergic receptor antagonist","ADRA1D|ADRA1A|ADRA1B|KCNH2|KCNH6|KCNH7","0.7213","1.6167","1.5915"
"8272","REP.A012_MCF10A_24H:D24","BRD-K00673382","famotidine","MCF10A","trt_cp","0.04 uM","24 h",3,131,"0.2055","0.16591",1,1,1,1,0,"Histamine receptor antagonist","HRH2","0.7212","1.6154","1.5912"
"8285","CPC016_ASC_24H:BRD-K31627533-001-03-8:10","BRD-K31627533","rimexolone","ASC","trt_cp","10 uM","24 h",3,339,"0.35","0.348309",1,0,1,1,0,"Glucocorticoid receptor agonist","NR3C1|SERPINA6","0.7211","1.6143","1.591"
"8319","REP.A018_YAPC_24H:I10","BRD-K64785675","TG-100115","YAPC","trt_cp","0.37 uM","24 h",3,93,"0.1733","0.128372",0,0,1,1,0,"PI3K inhibitor","PIK3CG|PIK3CA|PIK3CB|PIK3CD","0.7208","1.6107","1.5904"
"8330","PAC001_U2OS_6H:BRD-K69763916-001-01-7:10","BRD-K69763916","LY-341495","U2OS","trt_cp","10 uM","6 h",2,245,"0.35","0.296106",0,0,1,1,0,"Glutamate receptor antagonist","GRM2|GRM3","0.7208","1.6096","1.5903"
"8332","CPC005_A375_24H:BRD-A70407468-001-01-2:10","BRD-A70407468","PSB-36","A375","trt_cp","10 uM","24 h",3,172,"0.39","0.261895",1,1,1,1,0,"Adenosine receptor antagonist","ADORA1|ADORA2A|ADORA2B|ADORA3","0.7207","1.6089","1.5902"
"8352","REP.A024_THP1_24H:G11","BRD-K75844781","mCPP","THP1","trt_cp","0.125 uM","24 h",2,137,"0.3028","0.205953",1,1,1,1,0,"Serotonin receptor agonist","HTR2B|HTR2C|HTR1D|HTR2A|HTR1A|HTR1E|HTR6","0.7206","1.6052","1.5899"
"8360","REP.B015_PC3_24H:C05","BRD-K56104152","oxiconazole","PC3","trt_cp","0.03 uM","24 h",2,252,"0.4848","0.353437",1,1,1,1,0,"Bacterial cell wall synthesis inhibitor","-666","0.7205","1.6044","1.5898"
"8372","REP.B027_THP1_24H:I01","BRD-A97104540","fenoterol","THP1","trt_cp","2.22 uM","24 h",2,211,"0.311","0.259031",1,1,1,1,0,"Adrenergic receptor agonist","ADRB2|ADRB1|ADRB3","0.7204","1.5998","1.5895"
"8390","LJP009_NPC.CAS9_24H:F22","BRD-K87904882","chelerythrine","NPC","trt_cp","0.37 uM","24 h",3,224,"0.4215","0.310709",1,1,1,1,0,"Protein kinase inhibitor","-666","0.7203","1.5943","1.5892"
